state,yearOfLoss,floodEvent,occupancyType,count,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,buildingDamageAmount,contentsDamageAmount
AL,2005,Hurricane Dennis,1.0,52,208625.79,4786.9400000000005,0.0,234382.0,7185.0
AL,2005,Hurricane Dennis,3.0,9,10889.75,0.0,0.0,13887.0,0.0
AL,2005,Hurricane Dennis,4.0,4,101675.87999999999,19715.88,0.0,107176.0,20216.0
AL,2005,Hurricane Katrina,1.0,4703,171938419.34,34350290.66,6514772.69,184183400.0,41184754.0
AL,2005,Hurricane Katrina,2.0,256,3745609.4699999997,349235.91,66802.0,3941841.0,381559.0
AL,2005,Hurricane Katrina,3.0,260,13303684.78,249995.44,0.0,17263342.0,299223.0
AL,2005,Hurricane Katrina,4.0,401,34631558.91,19375901.78,150846.0,41666654.0,27085812.0
AL,2005,Hurricane Katrina,6.0,43,2635639.16,1382774.25,0.0,2705990.0,1570988.0
AL,2008,Hurricane Gustav,1.0,135,1020024.04,104410.81999999999,0.0,2253360.0,602196.0
AL,2008,Hurricane Gustav,2.0,20,125339.73000000001,0.0,0.0,154355.0,0.0
AL,2008,Hurricane Gustav,3.0,3,151769.08000000002,1929.6,0.0,202539.0,2430.0
AL,2008,Hurricane Gustav,4.0,5,53746.96,34337.19,0.0,55749.0,34339.0
AL,2008,Hurricane Ike,1.0,186,1259785.11,29485.39,30000.0,1383748.0,34684.0
AL,2008,Hurricane Ike,2.0,25,297597.81,1331.19,0.0,351138.0,1832.0
AL,2008,Hurricane Ike,3.0,16,117669.47,0.0,0.0,144299.0,0.0
AL,2008,Hurricane Ike,4.0,2,4893.97,1000.0,0.0,5394.0,0.0
AL,2012,Hurricane Isaac,1.0,144,829804.58,33223.54,0.0,961886.0,47601.0
AL,2012,Hurricane Isaac,2.0,20,128863.94,0.0,0.0,153617.0,0.0
AL,2012,Hurricane Isaac,3.0,24,78419.66,0.0,0.0,97109.0,0.0
AL,2012,Hurricane Isaac,4.0,18,247647.74,39826.03,0.0,254647.0,143826.0
AL,2012,Hurricane Isaac,6.0,2,12566.68,0.0,0.0,15567.0,0.0
AL,2014,Mid-spring storms,1.0,906,26442540.87,7268898.92,441720.0,25931186.0,8328233.0
AL,2014,Mid-spring storms,2.0,42,1428995.02,48330.17,0.0,1494849.0,59401.0
AL,2014,Mid-spring storms,3.0,88,7421854.76,216339.82,14081.07,7314804.0,247530.0
AL,2014,Mid-spring storms,4.0,22,1178144.72,634126.9700000001,0.0,1582072.0,664196.0
AL,2014,Mid-spring storms,6.0,29,932105.7999999999,973544.98,0.0,998068.0,1231643.0
AL,2015,Early winter storms,1.0,281,5264332.2,1016695.04,0.0,5654564.0,1184366.0
AL,2015,Early winter storms,3.0,22,201110.28,0.0,0.0,411854.0,0.0
AL,2015,Early winter storms,4.0,4,27609.99,9208.23,0.0,33806.0,10208.0
AL,2015,Early winter storms,6.0,25,525533.21,757407.0,0.0,575276.0,773301.0
AL,2016,Early winter storms,1.0,2,0.0,0.0,0.0,0.0,0.0
AL,2017,Hurricane Irma,1.0,4,6644.79,0.0,0.0,9781.0,0.0
AL,2020,Hurricane Sally,1.0,2639,76583838.77,17498134.419999998,498610.77,75126816.0,19446298.0
AL,2020,Hurricane Sally,2.0,224,2386022.95,93056.45999999999,0.0,2569303.0,106827.0
AL,2020,Hurricane Sally,3.0,278,14860169.89,225007.92,0.0,15026327.0,255884.0
AL,2020,Hurricane Sally,4.0,50,979851.5900000001,193542.83000000002,0.0,1008675.0,209946.0
AL,2020,Hurricane Sally,6.0,129,6643661.74,3390346.18,0.0,7263792.0,4088487.0
AL,2020,Hurricane Zeta,1.0,208,1986380.76,510173.52999999997,0.0,2222500.0,690178.0
